time,forecast_demand,real_demand
2004/10/20/1,10991.908930684944,11410.0
2004/10/20/2,10442.16133998353,10710.0
2004/10/20/3,10205.830733648787,10394.0
2004/10/20/4,10140.915888990317,10311.0
2004/10/20/5,10421.875451027758,10579.0
2004/10/20/6,11540.642226938571,11672.0
2004/10/20/7,13874.533751300116,13994.0
2004/10/20/8,15218.473894619996,15440.0
2004/10/20/9,15561.30541797254,15737.0
2004/10/20/10,15742.864124126698,15868.0
2004/10/20/11,15950.794485923358,15915.0
2004/10/20/12,15984.26620270038,15870.0
2004/10/20/13,15958.908841505667,15698.0
2004/10/20/14,16008.609269447308,15633.0
2004/10/20/15,15918.337063594123,15436.0
2004/10/20/16,15826.036268845362,15363.0
2004/10/20/17,15834.150624427672,15548.0
2004/10/20/18,16024.837980611925,16058.0
2004/10/20/19,16971.174700398682,17129.0
2004/10/20/20,17074.63273407312,17064.0
2004/10/20/21,16340.283553874177,16335.0
2004/10/20/22,15035.900894018052,15150.0
2004/10/20/23,13485.044683349297,13795.0
2004/10/20/24,12085.318345401043,12510.0
2004/10/21/1,10904.49584863391,11480.0
2004/10/21/2,10336.953093778171,10752.0
2004/10/21/3,10092.566355922143,10404.0
2004/10/21/4,10031.974602734697,10363.0
2004/10/21/5,10281.410653356348,10612.0
2004/10/21/6,11397.308774558465,11695.0
2004/10/21/7,13685.657319937649,13975.0
2004/10/21/8,15069.169017717652,15450.0
2004/10/21/9,15467.054863648542,15792.0
2004/10/21/10,15669.02737427336,15942.0
2004/10/21/11,15873.019610004427,16053.0
2004/10/21/12,15970.976277657463,16031.0
2004/10/21/13,15954.818476807477,15883.0
2004/10/21/14,15986.124215954324,15846.0
2004/10/21/15,15896.246448726279,15666.0
2004/10/21/16,15849.792771282573,15607.0
2004/10/21/17,16011.370779782426,15818.0
2004/10/21/18,16423.394701457055,16374.0
2004/10/21/19,17180.79161630012,17274.0
2004/10/21/20,17078.79549843459,17111.0
2004/10/21/21,16380.980474225842,16426.0
2004/10/21/22,15205.500462389402,15236.0
2004/10/21/23,13559.424500797139,13646.0
2004/10/21/24,12118.350637489064,12205.0
